Name,Data and time,Latitude,Longitude
image135,28-04-20 06:47,-35.456,-117.394
image136,28-04-20 06:47,-34.784,-116.504
image137,28-04-20 06:47,-34.147,-115.684
image138,28-04-20 06:48,-33.461,-114.823
image139,28-04-20 06:48,-32.812,-114.03
image140,28-04-20 06:48,-32.113,-113.198
image141,28-04-20 06:48,-31.452,-112.43
image142,28-04-20 06:49,-30.741,-111.624
image143,28-04-20 06:49,-30.069,-110.879
image144,28-04-20 06:49,-29.347,-110.098
image145,28-04-20 06:49,-28.665,-109.376
image146,28-04-20 06:50,-27.933,-108.617
image147,28-04-20 06:50,-27.243,-107.915
image148,28-04-20 06:50,-26.501,-107.178
image149,28-04-20 06:50,-25.802,-106.495
image150,28-04-20 06:51,-25.052,-105.777
image151,28-04-20 06:51,-24.299,-105.069
image152,28-04-20 06:51,-23.588,-104.413
image153,28-04-20 06:51,-22.827,-103.722
image154,28-04-20 06:52,-22.11,-103.082
image155,28-04-20 06:52,-21.342,-102.407
image156,28-04-20 06:52,-20.619,-101.781
image157,28-04-20 06:52,-19.844,-101.12
image158,28-04-20 06:53,-19.116,-100.508
image159,28-04-20 06:53,-18.336,-99.861
image160,28-04-20 06:53,-17.602,-99.26
image161,28-04-20 06:53,-16.818,-98.625
image162,28-04-20 06:54,-16.08,-98.035
image163,28-04-20 06:54,-15.29,-97.411
image164,28-04-20 06:54,-14.548,-96.831
image165,28-04-20 06:55,-13.755,-96.217
image166,28-04-20 06:55,-13.009,-95.645
image167,28-04-20 06:55,-12.262,-95.077
image168,28-04-20 06:55,-11.464,-94.475
image169,28-04-20 06:56,-10.714,-93.914
image170,28-04-20 06:56,-9.912,-93.32
image171,28-04-20 06:56,-9.16,-92.765
image172,28-04-20 06:56,-8.356,-92.176
image173,28-04-20 06:57,-7.601,-91.627
image174,28-04-20 06:57,-6.796,-91.043
image175,28-04-20 06:57,-6.039,-90.497
image176,28-04-20 06:57,-5.232,-89.917
image177,28-04-20 06:58,-4.474,-89.375
image178,28-04-20 06:58,-3.665,-88.798
image179,28-04-20 06:58,-2.907,-88.259
image180,28-04-20 06:58,-2.097,-87.684
image181,28-04-20 06:59,-1.338,-87.145
image182,28-04-20 06:59,-0.528,-86.571
image183,28-04-20 06:59,0.232,-86.033
image184,28-04-20 06:59,1.042,-85.459
image185,28-04-20 07:00,1.801,-84.921
image186,28-04-20 07:00,2.611,-84.346
image187,28-04-20 07:00,3.37,-83.807
image188,28-04-20 07:00,4.179,-83.23
image189,28-04-20 07:01,4.988,-82.652
image190,28-04-20 07:01,5.745,-82.109
image191,28-04-20 07:01,6.552,-81.527
image192,28-04-20 07:01,7.309,-80.98
image193,28-04-20 07:02,8.114,-80.395
image194,28-04-20 07:02,8.869,-79.843
image195,28-04-20 07:02,9.672,-79.252
image196,28-04-20 07:03,10.424,-78.695
image197,28-04-20 07:03,11.226,-78.097
image198,28-04-20 07:03,11.975,-77.534
image199,28-04-20 07:03,12.773,-76.929
image200,28-04-20 07:04,13.52,-76.358
image201,28-04-20 07:04,14.265,-75.783
image202,28-04-20 07:04,15.058,-75.165
image203,28-04-20 07:04,15.8,-74.581
image204,28-04-20 07:05,16.589,-73.952
image205,28-04-20 07:05,17.326,-73.358
image206,28-04-20 07:05,18.11,-72.718
image207,28-04-20 07:05,18.843,-72.113
image208,28-04-20 07:06,19.622,-71.461
image209,28-04-20 07:06,20.399,-70.801
image210,28-04-20 07:06,21.124,-70.176
image211,28-04-20 07:06,21.894,-69.502
image212,28-04-20 07:07,22.613,-68.863
image213,28-04-20 07:07,23.376,-68.173
image214,28-04-20 07:07,24.089,-67.518
